epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
42,893.724,1.23391,2.13788,1.03608,1.27701,0,0.68113,0.57121,0.62864,0.33396,0.62784,0.53341,0.55834,0.22343,1.46328,2.29032,1.22271,1.4923,0,0.000396265,0.000396265,0.000396265
43,901.34,1.23108,2.13138,1.03815,1.27699,0,0.63479,0.60688,0.63646,0.35161,0.5875,0.54556,0.54134,0.22515,1.42792,2.30825,1.22206,1.46364,0,0.000389661,0.000389661,0.000389661
44,908.968,1.24776,2.14424,1.06478,1.27898,0,0.58498,0.63172,0.6393,0.35158,0.57651,0.56499,0.56749,0.23797,1.41694,2.24241,1.1844,1.46245,0,0.000383058,0.000383058,0.000383058
45,916.7,1.21825,2.11972,1.02335,1.2656,0,0.57211,0.67452,0.62353,0.32956,0.51855,0.61607,0.53461,0.22618,1.46014,2.26612,1.19958,1.49202,0,0.000376455,0.000376455,0.000376455
46,924.369,1.20998,2.09619,1.00882,1.26582,0,0.62222,0.60838,0.64379,0.3477,0.53623,0.61665,0.56473,0.23344,1.44639,2.25632,1.18155,1.49035,0,0.000369851,0.000369851,0.000369851
47,932.113,1.20818,2.08289,1.0073,1.25501,0,0.59705,0.67234,0.63836,0.34426,0.55176,0.58963,0.55443,0.23042,1.42716,2.26653,1.18692,1.48962,0,0.000363248,0.000363248,0.000363248
48,939.774,1.19872,2.12435,1.00431,1.25131,0,0.61808,0.60796,0.64196,0.35096,0.59314,0.56372,0.56822,0.23809,1.40844,2.24333,1.15752,1.46965,0,0.000356645,0.000356645,0.000356645
49,947.415,1.19353,2.07814,0.99661,1.25598,0,0.61037,0.59112,0.61366,0.33346,0.577,0.54792,0.54699,0.22511,1.43806,2.27914,1.20847,1.48944,0,0.000350042,0.000350042,0.000350042
50,955.09,1.18226,2.04019,0.98222,1.24115,0,0.61488,0.62108,0.63935,0.35722,0.59555,0.54963,0.55835,0.23714,1.38923,2.21065,1.13387,1.444,0,0.000343438,0.000343438,0.000343438
51,962.722,1.18622,2.06092,0.99112,1.23953,0,0.62552,0.59297,0.63677,0.35175,0.61658,0.52659,0.5509,0.23152,1.4302,2.29532,1.15428,1.47728,0,0.000336835,0.000336835,0.000336835
52,970.414,1.18204,2.05798,0.98303,1.23597,0,0.61098,0.58786,0.61868,0.34063,0.60429,0.53952,0.54992,0.2343,1.42409,2.20852,1.15679,1.46792,0,0.000330232,0.000330232,0.000330232
53,978.21,1.14599,2.01361,0.95415,1.21572,0,0.62914,0.61514,0.63875,0.34959,0.59718,0.56372,0.55874,0.23198,1.41576,2.24932,1.17631,1.47605,0,0.000323628,0.000323628,0.000323628
54,985.928,1.15196,2.02299,0.95148,1.22436,0,0.67605,0.62238,0.64534,0.35192,0.62538,0.57472,0.56618,0.23205,1.43406,2.25721,1.19017,1.46432,0,0.000317025,0.000317025,0.000317025
55,993.706,1.16496,2.04726,0.95373,1.22086,0,0.63099,0.62793,0.646,0.35282,0.57398,0.58507,0.57133,0.23519,1.41033,2.23017,1.1231,1.46226,0,0.000310422,0.000310422,0.000310422
56,1001.44,1.1482,2.02302,0.94446,1.21869,0,0.65358,0.63132,0.65584,0.36334,0.6002,0.60349,0.57877,0.24421,1.43155,2.32136,1.15378,1.47808,0,0.000303818,0.000303818,0.000303818
57,1009.04,1.15337,2.02473,0.95519,1.21873,0,0.62833,0.68775,0.66247,0.36188,0.5814,0.62925,0.56792,0.23508,1.41456,2.23261,1.12212,1.46922,0,0.000297215,0.000297215,0.000297215
58,1016.83,1.14656,1.98989,0.91558,1.20233,0,0.59665,0.67505,0.645,0.35489,0.56032,0.6362,0.57086,0.23748,1.42685,2.28256,1.11609,1.48147,0,0.000290612,0.000290612,0.000290612
59,1024.61,1.13929,1.99041,0.94189,1.22021,0,0.61713,0.63445,0.65274,0.35189,0.6028,0.5701,0.56815,0.23434,1.4581,2.21732,1.13255,1.51675,0,0.000284009,0.000284009,0.000284009
60,1032.6,1.13542,1.98757,0.92959,1.20783,0,0.63819,0.61188,0.6383,0.35353,0.62792,0.57121,0.57159,0.24028,1.42316,2.25018,1.14389,1.47747,0,0.000277405,0.000277405,0.000277405
61,1041.93,1.14377,2.00716,0.92438,1.2078,0,0.64278,0.61507,0.65011,0.35195,0.59552,0.56926,0.57432,0.23637,1.44929,2.26669,1.13302,1.5092,0,0.000270802,0.000270802,0.000270802
62,1049.33,1.12547,1.98934,0.91388,1.20599,0,0.66299,0.65421,0.65997,0.3568,0.63146,0.59785,0.5719,0.23449,1.43495,2.28898,1.11193,1.48829,0,0.000264199,0.000264199,0.000264199
63,1056.95,1.12244,2.0034,0.90601,1.19242,0,0.63534,0.62334,0.62905,0.33822,0.5906,0.57453,0.55312,0.22316,1.47286,2.33501,1.16494,1.52262,0,0.000257595,0.000257595,0.000257595
64,1064.79,1.12402,1.98869,0.90567,1.19057,0,0.60417,0.66483,0.65134,0.34891,0.56201,0.62556,0.57848,0.23834,1.43777,2.32329,1.12429,1.49082,0,0.000250992,0.000250992,0.000250992
65,1073.09,1.11065,1.96184,0.91305,1.19136,0,0.66515,0.59464,0.6478,0.35299,0.63402,0.5465,0.5618,0.23301,1.43316,2.32945,1.13444,1.48635,0,0.000244389,0.000244389,0.000244389
66,1080.94,1.11431,1.94702,0.89122,1.19163,0,0.6203,0.6789,0.66097,0.36156,0.59794,0.59211,0.5789,0.23923,1.42141,2.24981,1.11416,1.47092,0,0.000237785,0.000237785,0.000237785
67,1088.96,1.09782,1.92603,0.88225,1.1833,0,0.67662,0.6183,0.65894,0.3598,0.63452,0.57144,0.58225,0.24287,1.39517,2.24489,1.09823,1.45471,0,0.000231182,0.000231182,0.000231182
68,1096.94,1.0992,1.92943,0.8812,1.18092,0,0.66716,0.61617,0.65609,0.35827,0.62429,0.55284,0.55973,0.23754,1.42644,2.23518,1.1134,1.4883,0,0.000224579,0.000224579,0.000224579
69,1110.76,1.09524,1.97486,0.87862,1.17839,0,0.65235,0.62811,0.66223,0.36582,0.61095,0.58071,0.57884,0.24443,1.40041,2.30804,1.11012,1.46858,0,0.000217976,0.000217976,0.000217976
70,1139.46,1.08825,1.93478,0.86758,1.17979,0,0.63137,0.67996,0.65726,0.3636,0.59478,0.63448,0.5801,0.24871,1.42507,2.25989,1.08594,1.50031,0,0.000211372,0.000211372,0.000211372
71,1161.77,1.07043,1.89942,0.85736,1.1682,0,0.69226,0.63713,0.66087,0.36413,0.66089,0.60366,0.58714,0.24921,1.43325,2.27536,1.10663,1.48536,0,0.000204769,0.000204769,0.000204769
